Current Attendence Sheet Data of POS22623  |  All Type


-,2019-08-01-09:00:00-Lect-2H-ng,2019-08-01-15:00:00-Lect-1H-ng,2019-08-08-09:00:00-Lect-2H-ng,2019-08-15-10:00:00-Lect-1H-ng,2019-08-15-15:00:00-Lect-1H-ng,2019-08-19-11:00:00-Lect-1H-ng,2019-08-22-09:00:00-Lect-1H-ng,2019-12-09-11:00:00-Lect-1H-ng,2019-12-12-10:00:00-Lect-1H-ng,2019-12-12-15:00:00-Lect-1H-ng,2019-12-16-09:00:00-Lect-1H-ng,2019-12-17-11:00:00-Lect-1H-ng,2019-12-18-13:00:00-Lect-1H-ng,2019-12-23-11:00:00-Lect-1H-ng,2019-12-24-11:00:00-Lect-1H-ng,2019-12-31-11:00:00-Lect-1H-ng,2020-01-01-13:00:00-Lect-1H-ng,2020-01-06-11:00:00-Lect-1H-ng,2020-01-07-11:00:00-Lect-1H-ng,2020-01-08-13:00:00-Lect-1H-ng,2020-01-13-13:00:00-Lect-1H-ng,2020-01-16-09:00:00-Lect-2H-ng,2020-01-20-13:00:00-Lect-1H-ng,2020-01-27-09:00:00-Lect-2H-ng,2020-01-27-12:00:00-Lect-2H-ng,2020-01-30-09:00:00-Lect-2H-ng,2020-02-03-13:00:00-Lect-1H-ng,2020-02-06-09:00:00-Lect-2H-ng,2020-02-10-13:00:00-Lect-1H-ng,2020-02-12-12:00:00-Lect-2H-ng,2020-02-13-09:00:00-Lect-2H-ng,2020-02-17-13:00:00-Lect-1H-ng,2020-02-20-09:00:00-Lect-2H-ng,%
HS/2017/16333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16335,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,95 %,
HS/2017/16339,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2017/16362,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M,M,1,1,1,1,1,86 %,
HS/2017/16363,1,1,0,0,1,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,M,M,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16397,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16418,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,81 %,
HS/2017/16426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16455,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,79 %,
HS/2017/16459,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16463,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,72 %,
HS/2017/16465,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2017/16479,0,0,1,1,1,0,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16493,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16495,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2017/16496,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16497,0,0,1,1,0,0,1,1,1,1,1,1,M,1,1,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16571,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16587,M,M,1,1,1,1,1,1,1,1,M,M,1,M,M,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2017/16607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
Total,22,22,19,23,25,21,20,21,24,22,24,24,25,22,19,20,22,24,25,25,24,23,26,25,23,26,24,26,26,26,26,26,26,
